package_name,version,application_type,Category
Krita ,3.0.94,Art & Design,CAD / Engineering Tools
Krita ,3.1.0,Art & Design,CAD / Engineering Tools
Krita ,3.1.1,Art & Design,CAD / Engineering Tools
Krita, 3.1.1,Art & Design,CAD / Engineering Tools
Krita ,3.1.2.1,Art & Design,CAD / Engineering Tools
Krita ,3.1.3-alpha.2,Art & Design,CAD / Engineering Tools
Krita, 3.1.3-beta.1,Art & Design,CAD / Engineering Tools
Krita ,3.1.3-beta.1,Art & Design,CAD / Engineering Tools
Krita ,3.1.3-rc.1,Art & Design,CAD / Engineering Tools
Krita ,3.1.4,Art & Design,CAD / Engineering Tools
Krita, 3.2.0,Art & Design,CAD / Engineering Tools
Krita ,3.2.0,Art & Design,CAD / Engineering Tools
Krita ,3.2.1,Art & Design,CAD / Engineering Tools
Krita, 3.2.1,Art & Design,CAD / Engineering Tools
Krita ,3.3.0,Art & Design,CAD / Engineering Tools
Krita ,3.3.1,Art & Design,CAD / Engineering Tools
Krita ,3.3.3,Art & Design,CAD / Engineering Tools
Krita ,4.0.0prealpha1,Art & Design,CAD / Engineering Tools
Krita, 4.0.0-prealpha,Art & Design,CAD / Engineering Tools
Krita ,4.0.0.51,Art & Design,CAD / Engineering Tools
Krita nightly,4.0.0.51,Art & Design,CAD / Engineering Tools
Krita,4.0.1,Art & Design,CAD / Engineering Tools
Krita ,4.0.2,Art & Design,CAD / Engineering Tools
Krita,4.0.3,Art & Design,CAD / Engineering Tools
Krita ,4.0.3,Art & Design,CAD / Engineering Tools
Krita,4.0.4,Art & Design,CAD / Engineering Tools
Krita ,4.0.4,Art & Design,CAD / Engineering Tools
Krita ,4.1.0-beta.2,Art & Design,CAD / Engineering Tools
Krita ,4.1.0,Art & Design,CAD / Engineering Tools
Krita ,4.1.1,Art & Design,CAD / Engineering Tools
Krita,4.1.3,Art & Design,CAD / Engineering Tools
Krita ,4.1.3,Art & Design,CAD / Engineering Tools
Krita ,4.1.5,Art & Design,CAD / Engineering Tools
Krita,4.1.5,Art & Design,CAD / Engineering Tools
Krita ,4.1.7,Art & Design,CAD / Engineering Tools
Krita,4.1.7,Art & Design,CAD / Engineering Tools
Krita ,4.2.0-alpha,Art & Design,CAD / Engineering Tools
Krita,4.2.0-alpha,Art & Design,CAD / Engineering Tools
Krita ,4.2.0-beta2,Art & Design,CAD / Engineering Tools
Krita-HDR,4.2.0,Art & Design,CAD / Engineering Tools
Krita ,4.2.0,Art & Design,CAD / Engineering Tools
Krita,4.2.1,Art & Design,CAD / Engineering Tools
Krita ,4.2.1,Art & Design,CAD / Engineering Tools
Krita,4.2.2,Art & Design,CAD / Engineering Tools
Krita ,4.2.2,Art & Design,CAD / Engineering Tools
Krita ,4.2.3,Art & Design,CAD / Engineering Tools
Krita,4.2.4,Art & Design,CAD / Engineering Tools
Krita ,4.2.4,Art & Design,CAD / Engineering Tools
Krita ,4.2.5,Art & Design,CAD / Engineering Tools
Krita ,4.2.6-beta1,Art & Design,CAD / Engineering Tools
Krita ,4.2.6,Art & Design,CAD / Engineering Tools
Krita ,4.2.6 ,Art & Design,CAD / Engineering Tools
Krita ,4.2.7.1,Art & Design,CAD / Engineering Tools
Krita ,4.2.8,Art & Design,CAD / Engineering Tools
Krita,4.2.8,Art & Design,CAD / Engineering Tools
Krita ,4.2.9,Art & Design,CAD / Engineering Tools
Krita ,4.3.0-beta1,Art & Design,CAD / Engineering Tools
Krita ,4.3.0-beta2,Art & Design,CAD / Engineering Tools
Krita,4.3.0-beta2,Art & Design,CAD / Engineering Tools
Krita ,4.3.0,Art & Design,CAD / Engineering Tools
Krita,4.3.0,Art & Design,CAD / Engineering Tools
Krita ,4.4.0,Art & Design,CAD / Engineering Tools
Krita,2.4.7.5,Art & Design,CAD / Engineering Tools
Krita,2.4.7.6,Art & Design,CAD / Engineering Tools
Krita,2.5.7.0,Art & Design,CAD / Engineering Tools
Krita,2.5.7.1,Art & Design,CAD / Engineering Tools
Krita,2.5.7.2,Art & Design,CAD / Engineering Tools
Krita,2.5.9.0,Art & Design,CAD / Engineering Tools
Krita,2.6.0.0,Art & Design,CAD / Engineering Tools
Krita,2.6.2.0,Art & Design,CAD / Engineering Tools
Krita,2.7.8.0,Art & Design,CAD / Engineering Tools
Krita,2.7.8.2,Art & Design,CAD / Engineering Tools
Krita,2.7.8.7,Art & Design,CAD / Engineering Tools
Krita,2.8.0.2,Art & Design,CAD / Engineering Tools
Krita,2.8.1.0,Art & Design,CAD / Engineering Tools
Krita,2.8.1.1,Art & Design,CAD / Engineering Tools
Krita,2.8.2.0,Art & Design,CAD / Engineering Tools
Krita,2.8.3.0,Art & Design,CAD / Engineering Tools
Krita,2.8.0.3,Art & Design,CAD / Engineering Tools
ManyCam,dl. 2021-29-03,Video,Office Productivity
Everything Installer,1.4.1.1005,Utility Suite,Office Productivity
Everything Portable,1.4.1.1005,Utility Suite,Office Productivity
Everything Lite Installer,1.4.1.1005,Utility Suite,Office Productivity
Everything Installer,1.4.1.1005 ,Utility Suite,Office Productivity
Everything Lite Installer,1.4.1.1005 ,Utility Suite,Office Productivity
Everything Portable, 1.4.1.1005,Utility Suite,Office Productivity
Everything Portable ,1.4.1.1005,Utility Suite,Office Productivity
Everything Language Pack,dl. 2021-03-29,Utility Suite,Office Productivity
Everything Command Line Interface,1.1.0.18,Utility Suite,Scripting Tools
Everything Offline Help,dl. 2021-03-29,Utility Suite,Office Productivity
Everything Installer 2020,1.4.1.986,Utility Suite,Office Productivity
Everything Portable 2020,1.4.1.986,Utility Suite,Office Productivity
Everything Installer 2020,1.4.1.969,Utility Suite,Office Productivity
Everything Portable 2020,1.4.1.969,Utility Suite,Office Productivity
Everything Installer 2018,1.4.1.935,Utility Suite,Office Productivity
Everything Portable 2018,1.4.1.935,Utility Suite,Office Productivity
Everything Installer 2017,1.4.1.877,Utility Suite,Office Productivity
Everything Portable 2017,1.4.1.877,Utility Suite,Office Productivity
Everything Installer 2014,1.3.4.686,Utility Suite,Office Productivity
Everything Portable 2014,1.3.4.686,Utility Suite,Office Productivity
Everything Installer 2009 ,1.2.1.371 ,Utility Suite,Office Productivity
Everything Portable 2009 ,1.2.1.371 ,Utility Suite,Office Productivity
Everything Installer 2008  ,1.2.1.371,Utility Suite,Office Productivity
Everything Installer 2008,1.0.0.0 ,Utility Suite,Office Productivity
Everything,1.4.1.932,Utility Suite,Office Productivity
Everything,1.4.1.928,Utility Suite,Office Productivity
Everything,1.4.1.924,Utility Suite,Office Productivity
Everything,1.4.1.895,Utility Suite,Office Productivity
Everything,1.4.1.877,Utility Suite,Office Productivity
Everything,1.4.1.873b,Utility Suite,Office Productivity
Everything,1.4.1.867b,Utility Suite,Office Productivity
Everything ,1.4.1.809b,Utility Suite,Office Productivity
Everything,1.4.1.809b,Utility Suite,Office Productivity
Everything,1.4.1.772b,Utility Suite,Office Productivity
Everything,1.4.1.771b,Utility Suite,Office Productivity
Everything,1.4.1.770b,Utility Suite,Office Productivity
Everything,1.4.0.713b,Utility Suite,Office Productivity
Everything,1.4.0.705b,Utility Suite,Office Productivity
Everything,1.4.0.704b,Utility Suite,Office Productivity
Everything,1.4.0.703b,Utility Suite,Office Productivity
Everything,1.4.0.702b,Utility Suite,Office Productivity
Everything,1.3.4.685b,Utility Suite,Office Productivity
Everything,1.3.4.684b,Utility Suite,Office Productivity
Everything,1.3.4.683b,Utility Suite,Office Productivity
Everything,1.3.4.682b,Utility Suite,Office Productivity
Everything,1.3.4.681b,Utility Suite,Office Productivity
Everything,1.3.4.680b,Utility Suite,Office Productivity
Everything,1.3.4.679b,Utility Suite,Office Productivity
Everything,1.3.4.678b,Utility Suite,Office Productivity
