package_name,version,application_type,Category
SyncBackFree (Administrators only),11.3.72.0,Backup,System Administration Tools
SyncBackFree (Standards Users),11.3.72.0,Backup,System Administration Tools
SyncBackSE (Admin) (32 bit),11.3.72.0,Backup,System Administration Tools
SyncBackSE (32 bit),11.3.72.0,Backup,System Administration Tools
SyncBackSE (Admin) (64 bit),11.3.72.0,Backup,System Administration Tools
SyncBackSE (64 bit),11.3.72.0,Backup,System Administration Tools
SyncBackPro (Admin) (32 bit),11.3.72.0,Backup,System Administration Tools
SyncBackPro (32 bit),11.3.72.0,Backup,System Administration Tools
SyncBackPro (Admin) (64 bit),11.3.72.0,Backup,System Administration Tools
SyncBackPro (64 bit),11.3.72.0,Backup,System Administration Tools
OnClick Utilities Bundle,2025-01-14,Utilities,Office Productivity
DeleteOnClick,2.6.7.0,Utility,Office Productivity
EncryptOnClick,2.4.13.0,Encryption,Security Monitoring Tools
FindOnClick,3.3.10.0,Utility,Office Productivity
HashOnClick,3.1.9.0,Utility,Office Productivity
PatchOnClick,3.8.8.0,Operating System,System Administration Tools
ScrambleOnClick,1.7.8.0,Encryption,Security Monitoring Tools
UndeleteOnClick,1.12.11.0,File Recovery,System Administration Tools
2025-01 .NET 9.0.1 Security Update for ARM64 Client (KB5050526) ,January 2025,Operating System,System Administration Tools
2025-01 .NET 9.0.1 Security Update for x64 Client (KB5050526) ,January 2025,Operating System,System Administration Tools
2025-01 .NET 8.0.12 Security Update for x86 Client (KB5050525) ,January 2025,Operating System,System Administration Tools
2025-01 .NET 8.0.12 Security Update for x64 Client (KB5050525) ,January 2025,Operating System,System Administration Tools
2025-01 .NET 8.0.12 Security Update for ARM64 Client (KB5050525) ,January 2025,Operating System,System Administration Tools
2025-01 Dynamic Cumulative Update for Windows 10 Version 21H2 for x64-based Systems (KB5049981) ,January 2025,Security,Office Productivity
2025-01 Dynamic Cumulative Update for Windows 10 Version 22H2 for x86-based Systems (KB5049981) ,January 2025,Security,Office Productivity
2025-01 Dynamic Cumulative Update for Windows 10 Version 21H2 for ARM64-based Systems (KB5049981) ,January 2025,Security,Office Productivity
SQL Server 2022 RTM Cumulative Update (CU) 17 KB5048038 ,2025-01-21,Operating System,Database Tools
Update for Windows Security platform - KB5007651,10.0.27777.1000,Operating System,System Administration Tools
VirtualBox (windows host),7.1.6,virtualization,Virtualization Tools
VirtualBox (Windows Hosts),7.0.24,virtualization,Virtualization Tools
MicroSIP,3.21.6,voip,Call Center Software
MicroSIP Lite,3.21.6,voip,Call Center Software
Viber for Desktop,2025-01-22,Messenger,Communication Tools
Viber for Desktop (32 bit),2025-01-22,Messenger,Communication Tools
Viber,2025-01-22,Messenger,Communication Tools
Webcam,2.8.10,Webcam,Office Productivity
VR for Windows,2.4,virtual reality,Data Science Tools
Thunderbird Desktop,128.6.0,E-mail,Communication Tools
Thunderbird,128.6.0,E-mail,Communication Tools
SumatraPDF (64 bit),3.5.2,pdf reader,Office Productivity
SumatraPDF (ARM64),3.5.2,pdf reader,Office Productivity
SumatraPDF (32 bit),3.5.2,pdf reader,Office Productivity
Paint.NET,5.1.2,Image Enhancement tool,Office Productivity
PhotoFiltre,11.6.1,Image Enhancement tool,Office Productivity
PhotoFiltre Studio X (32-bit),10.14.2,Image Enhancement tool,Office Productivity
PhotoFiltre,7.2.1,Image Enhancement tool,Office Productivity
PhotoFiltre,6.5.3,Image Enhancement tool,Office Productivity
Mp3tag (64 bit),3.28,Metadata Editor ,Office Productivity
Mp3tag (32 bit),3.28,Metadata Editor ,Office Productivity
Mp3tag for Windows XP and Windows Vista,3.05,Metadata Editor ,Office Productivity
Mp3tag for Windows 2000,2.39,Metadata Editor ,Office Productivity
Mp3tag,2.32,Metadata Editor ,Office Productivity
AIMP,5.40.2655,Audio Player ,Office Productivity
ffdshow tryouts (32 bit),1.3.4531,Video,Office Productivity
ffdshow tryouts (64 bit),1.3.4531,Video,Office Productivity
"Warhammer 40,000- Darktide",1.6.3296.0,Game,Kiosk / Public Access Software
Wasteland 3,1.0.37.0,Game,Kiosk / Public Access Software
Wasteland Remastered,1.0.5088.0,Game,Kiosk / Public Access Software
We Love Katamari REROLL+ Royal Reverie,1.0.10.0,Game,Kiosk / Public Access Software
Wildfrost,1.2.6.0,Game,Kiosk / Public Access Software
Wo Long- Fallen Dynasty,1.0.34.0,Game,Kiosk / Public Access Software
Yakuza- Like a Dragon,2.15.0.0,Game,Kiosk / Public Access Software
Zombie Army 4- Dead War,1.9.135.0,Game,Kiosk / Public Access Software
theHunter- Call of the Wild - Windows 10,26.4444.19805.0,Game,Kiosk / Public Access Software
Thirsty Suitors,1.0.10.0,Game,Kiosk / Public Access Software
Totally Reliable Delivery Service,1.0.4.0,Game,Kiosk / Public Access Software
Trailmakers,109.5.61157.0,Game,Kiosk / Public Access Software
Trials of Mana,1.0.8.0,Game,Kiosk / Public Access Software
Tunic,1.1.6.0,Game,Kiosk / Public Access Software
Turbo Golf Racing,1.1.6.0,Game,Kiosk / Public Access Software
Turnip Boy Robs a Bank,1.0.17.0,Game,Kiosk / Public Access Software
Unpacking,1.0.4.0,Game,Kiosk / Public Access Software
Vampire Survivors,1.12.108.0,Game,Kiosk / Public Access Software
Wargroove 2,1.2.25.0,Game,Kiosk / Public Access Software
Techtonica,0.1108.1659.0,Game,Kiosk / Public Access Software
Terra Invicta,0.4.38.0,Game,Kiosk / Public Access Software
The Bard's Tale Trilogy,1.0.4177.0,Game,Kiosk / Public Access Software
The Big Con,1.6.18.0,Game,Kiosk / Public Access Software
The Callisto Protocol,1.1.0.0,Game,Kiosk / Public Access Software
The Case of the Golden Idol,1.0.74.0,Game,Kiosk / Public Access Software
The Gunk,2015.1.6.0,Game,Kiosk / Public Access Software
The Lamplighters League - PC Edition,1.3.1.0,Game,Kiosk / Public Access Software
The Last Case of Benedict Fox- Definitive Edition,1.40.2.0,Game,Kiosk / Public Access Software
The Rewinder,1.0.21.0,Game,Kiosk / Public Access Software
RAGE 2,1.0.45.0,Game,Kiosk / Public Access Software
Remnant 2,1.0.28.0,Game,Build Tools
RESIDENT EVIL 2,1.2.0.0,Game,Kiosk / Public Access Software
RESIDENT EVIL 3,1.2.0.0,Game,Kiosk / Public Access Software
Return to Monkey Island,1.1.1.0,Game,Kiosk / Public Access Software
Road 96,1.0.24.0,Game,Kiosk / Public Access Software
Pillars of Eternity- Deadfire Pack,1.0.0.0,Game,Kiosk / Public Access Software
Pillars of Eternity- Royal Edition Upgrade Pack,1.0.0.0,Game,Kiosk / Public Access Software
Pillars of Eternity- The White March Part I,1.0.1.0,Game,Kiosk / Public Access Software
Pillars of Eternity- The White March Part II,1.0.0.0,Game,Kiosk / Public Access Software
PlateUp,4.0.45.0,Game,Kiosk / Public Access Software
Orcs Must Die! Deathtrap,1.0.7.0,Game,Kiosk / Public Access Software
Overthrown,0.6.11.0,Game,Kiosk / Public Access Software
FreeCommander XE (32-bit),2025-02-03,File Management,Office Productivity
FreeCommander XE (with help file),2025-02-03,File Management,Office Productivity
FreeCommander Portable 2024 Build 901,2025-02-03,File Management,Office Productivity
Malwarebytes,2025-02-04,Virus Removal Tool,Office Productivity
Malwarebytes AdwCleaner,2025-02-04,Adware Cleaner,Security Monitoring Tools
KillDisk,25,Hard Drive Eraser,Office Productivity
Clam AV (ARM64),1.4.2,Antivirus,Security Monitoring Tools
Clam AV,1.4.2,Antivirus,Security Monitoring Tools
Clam AV (x64),1.4.2,Antivirus,Security Monitoring Tools
Clam AV,1.0.8 LTS,Antivirus,Security Monitoring Tools
Clam AV (x64),1.0.8 LTS ,Antivirus,Security Monitoring Tools
ClamAV,0.103.12,Antivirus,Security Monitoring Tools
Avira Free Antivirus,2025-02-04,Antivirus,Security Monitoring Tools
Avira Phantom VPN,2025-02-04,Security,VPN Client
AVG Antivirus Free,2025-02-04,Antivirus,Security Monitoring Tools
AVG Secure Browser,2025-02-04,Web Browser,Web Browser
Update for Windows Security platform - KB5007651,10.0.27777.1001,Operating System,System Administration Tools
"Cumulative Update Preview for .NET Framework 3.5 and 4.8.1 for Windows 11, version 24H2 for x64 (KB5050577) ",January 2025,Security,Office Productivity
"Cumulative Update Preview for .NET Framework 3.5 and 4.8.1 for Windows 11, version 24H2 for arm64 (KB5050577) ",January 2025,Security,Office Productivity
Cumulative Update Preview for x64-based Systems (KB5050081) ,January 2025,Security,Office Productivity
CCleaner,6.32,Disk Accelerator,Office Productivity
Directory Opus,13,File Management,Office Productivity
AdGuard VPN,2025-02-04,vpn,VPN Client
Valentina Studio,14.7.1,Database Management System,Database Tools
Valentina Server,14.7.1,Database Management System,Database Tools
AdGuard,2025-02-06,Ad Blocker,Web Browser
"JDownloader (x64, Java 21)",2,download manager,Office Productivity
"JDownloader (arm64, Java 21)",2,download manager,Office Productivity
"JDownloader (x64, Java 17)",2,download manager,Office Productivity
"JDownloader (x86, Java 17)",2,download manager,Office Productivity
"JDownloader (x64, Java 11)",2,download manager,Office Productivity
"JDownloader (x86, Java 11)",2,download manager,Office Productivity
"JDownloader (x64, Java 1.8)",2,download manager,Office Productivity
"JDownloader (x86, Java 1.8)",2,download manager,Office Productivity
FileZilla Client,3.68.1,FTP,Remote Access Tools
FileZilla Server,1.9.4,FTP,Remote Access Tools
Node.js (windows x64),2025-02-10,Java,Development Tools
Node.js (windows x86),2025-02-10,Java,Development Tools
Node.js (windows ARM64),2025-02-10,Java,Development Tools
Node.js Windows Installer (windows x64),2025-02-10,Java,Development Tools
Node.js Windows Installer (windows x86),2025-02-10,Java,Development Tools
Node.js Windows Installer (windows ARM64),2025-02-10,Java,Development Tools
TextExpander,8.1,productivity tools,Office Productivity
TextExpander,2.3.1,productivity tools,Office Productivity
Affinity Designer 2 (ARM64),2.5.7,Graphics Suite,CAD / Engineering Tools
Affinity Designer 2 (MSI/EXE x64),2.5.7,Graphics Suite,CAD / Engineering Tools
Affinity Photo 2 (MSI/EXE x64),2.5.7,Photo Editing,Office Productivity
Affinity Photo 2 (MSI/EXE ARM64),2.5.7,Photo Editing,Office Productivity
Affinity Publisher 2 (MSI/EXE x64),2.5.7,Publishing,Office Productivity
Affinity Publisher 2 (MSI/EXE ARM64),2.5.7,Publishing,Office Productivity
IntelliJ IDEA Ultimate,2024.3.2.2,Development tool,Development Tools
IntelliJ IDEA Ultimate (ARM 64),2024.3.2.2,Development tool,Development Tools
Opera Browser,dl.2025-02-11,Web Browser,Web Browser
Opera Air,dl.2025-02-11,Web Browser,Web Browser
Opera GX,dl.2025-02-11,Gaming Browser,Web Browser
Opera Developer,dl.2025-02-11,Web Browser,Development Tools
Opera Portable Browser,2025-02-11,Web Browser,Web Browser
Opera 95 Stable for windows,2025-02-11,Web Browser,Web Browser
2025-02 Dynamic Cumulative Update for Windows 10 Version 22H2 for ARM64-based Systems (KB5051974) ,February 2025,Security,Office Productivity
2025-02 Dynamic Cumulative Update for Windows 10 Version 22H2 for x86-based Systems (KB5051974) ,February 2025,Security,Office Productivity
2025-02 Dynamic Cumulative Update for Windows 10 Version 21H2 for x64-based Systems (KB5051974),February 2025,Security,Office Productivity
SQL Server 2019 RTM Cumulative Update (CU) 30 KB5049235 ,dl.2025-02-11,Security,Database Tools
"2025-01 Cumulative Update Preview for .NET Framework 3.5 and 4.8.1 for Windows 11, version 23H2 for ARM64 (KB5050578) ",January 2025,Security,Office Productivity
2025-01 Cumulative Update Preview for Windows 11 Version 23H2 for arm64-based Systems (KB5050092) ,January 2025,Security,Office Productivity
Vivaldi,7.1,Web Browser,Web Browser
OBS Studio,31.0.1,Video Recording,Office Productivity
CLion,2024.3.2,Development tool,Development Tools
CLion (ARM64),2024.3.2,Development tool,Development Tools
Python (64 bit),3.13.2,Programming,Data Science Tools
Python (32 bit),3.13.2,Programming,Data Science Tools
Python (ARM 64),3.13.2,Programming,Data Science Tools
Python (64 bit),3.12.9,Programming,Data Science Tools
Python (32 bit),3.12.9,Programming,Data Science Tools
Python (ARM 64),3.12.9,Programming,Data Science Tools
Python (64 bit),3.12.8,Programming,Data Science Tools
Python (32 bit),3.12.8,Programming,Data Science Tools
Python (ARM 64),3.12.8,Programming,Data Science Tools
Python (64 bit),3.13.1,Programming,Data Science Tools
Python (32 bit),3.13.1,Programming,Data Science Tools
Python (ARM 64),3.13.1,Programming,Data Science Tools
Carrion,1.0.14.0,Game,Kiosk / Public Access Software
Citizen Sleeper 2- Starward Vector,1.1.24.0,Game,Kiosk / Public Access Software
Dead By Daylight,8.5.100.0,Game,Kiosk / Public Access Software
Deep Rock Galactic,39.1.43380.0,Game,Kiosk / Public Access Software
For The King II,0.0.40.0,Game,Kiosk / Public Access Software
Lonely Mountains- Snow Riders,1.0.3.0,Game,Kiosk / Public Access Software
No Man's Sky,5.54.1.0,Game,Kiosk / Public Access Software
Orcs Must Die! Deathtrap,1.0.9.0,Game,Kiosk / Public Access Software
Sniper Elite- Resistance,1.0.929.0,Game,Kiosk / Public Access Software
QuickBooks Desktop Pro,2024,Accounting,Financial Software
QuickBooks Desktop Premier,2024,Accounting,Financial Software
QuickBooks Desktop Accountant,2024,Accounting,Build Tools
QuickBooks Desktop Enterprise Solutions,24.0,Accounting,Financial Software
Clipboard Manager,2025-02-24,Clipboard Manager,Office Productivity
calibre,7.26.0,Electronic Book,Educational Software
calibre portable,7.26.0,Electronic Book,Educational Software
Plex Media Server (32 bit),2025-02-24,Media Player,Office Productivity
Plex Media Server (64 bit),2025-02-24,Media Player,Office Productivity
Plex Desktop,2025-02-24,Media Player,Office Productivity
Plexamp,4.11.5,Music,Office Productivity
Sticky Password,2025-02-25,password manager,Office Productivity
Password Manager Pro,13.0,password manager,Office Productivity
Mugshot,2025-02-25,Security,Office Productivity
Flix,2025-02-25,video editing,Office Productivity
7-Zip (Windows x64),24.09,File Compression,Office Productivity
7-Zip (32-bit),24.09,File Compression,Office Productivity
7-Zip,24.09,File Compression,Office Productivity
SysGauge,11.5.38 ,network monitoring,Office Productivity
SysGauge Pro,11.5.38,network monitoring,Office Productivity
SysGauge Server,11.5.38,network monitoring,Office Productivity
SysGauge,11.5.38,network monitoring,Office Productivity
Agent DVR,6.2.1.0,Video,Office Productivity
iSpy (32 bit deprecated),7.2.6.0,Video,Office Productivity
iSpy (64 bit deprecated),7.2.6.0,Video,Office Productivity
Grizzly Security Ltd - AntiVirus - 1.0.168.472 ,2025-02-25,Security,Office Productivity
Grizzly Security Ltd - AntiVirus - 1.0.169.472 ,2025-02-25,Security,Office Productivity
Grizzly Security Ltd - AntiVirus - 1.0.169.472,2025-02-25,Security,Office Productivity
Update for Windows Security platform - KB5007651,10.0.27777.1002,Security,Office Productivity
SQL Server 2019 RTM Cumulative Update (CU) 31 KB5049296,2025-02-25,Security,Database Tools
Citizen Sleeper 2- Starward Vector,1.1.29.0,Game,Kiosk / Public Access Software
Minecraft Launcher,2.2.2.0,Game,Kiosk / Public Access Software
Minecraft- Java Edition,1.0.5.0,Game,Kiosk / Public Access Software
Sea of Thieves,2.137.9040.0,Game,Kiosk / Public Access Software
Sniper Elite- Resistance,1.1.52.0,Game,Kiosk / Public Access Software
"Warhammer 40,000- Rogue Trader",1.0.7.0,Game,Kiosk / Public Access Software
"Warhammer 40,000- Boltgun - Windows",1.0.7.0,Game,Kiosk / Public Access Software
"Warhammer 40,000- Darktide",1.6.3475.0,Game,Kiosk / Public Access Software
Old Mars,0.0.7.0,Game,Kiosk / Public Access Software
Starbound,1.0.3.0,Game,Kiosk / Public Access Software
Shiina Taki's Decameron,,Game,Kiosk / Public Access Software
Magic Archery,,Game,Kiosk / Public Access Software
KANNAGI USAGI,,Game,Kiosk / Public Access Software
Illusion Carnival,,Game,Kiosk / Public Access Software
100 Asian Cats,,Game,Kiosk / Public Access Software
Awaria,,Game,Kiosk / Public Access Software
Mizi NO,,Game,Kiosk / Public Access Software
我的小鲨鱼,,Game,Kiosk / Public Access Software
The Powder Toy,,Game,Kiosk / Public Access Software
100 Capitalist Cats,,Game,Kiosk / Public Access Software
Touhou Hero of Ice Fairy Prologue,,Game,Kiosk / Public Access Software
Indigo Park Chapter 1,,Game,Kiosk / Public Access Software
100 Ninja Cats,,Game,Build Tools
Cats and Seek Osaka,,Game,Kiosk / Public Access Software
STRAFTAT,,Game,Kiosk / Public Access Software
HalfLife MMod,,Game,Kiosk / Public Access Software
NIGHTRUNNERS PROLOGUE,,Game,CI/CD Tools
last seen online,,Game,Kiosk / Public Access Software
Stray Cats in Cozy Town,,Game,Kiosk / Public Access Software
Lilys Well,,Game,Kiosk / Public Access Software
Pages of Time Prologue,,Game,Kiosk / Public Access Software
Alien Swarm,,Game,Kiosk / Public Access Software
Unsorted Horror,,Game,Kiosk / Public Access Software
The Test Secrets of the Soul,,Game,Kiosk / Public Access Software
Samorost 1,,Game,Kiosk / Public Access Software
Starfield,1.14.74.0,Game,Kiosk / Public Access Software
State of Decay 2,2.741.435.0,Game,Kiosk / Public Access Software
SteamWorld Build,1.0.14.0,Game,Kiosk / Public Access Software
SUPERHOT- MIND CONTROL DELETE,1.3.81.0,Game,Kiosk / Public Access Software
Superliminal,1.0.5.0,Game,Scripting Tools
Tchia,2.1.8.0,Game,Kiosk / Public Access Software
Shadowrun Returns,1.1.26.0,Game,Kiosk / Public Access Software
Shadowrun- Dragonfall - Director's Cut,1.1.26.0,Game,Kiosk / Public Access Software
Shadowrun- Hong Kong - Extended Edition,1.1.26.0,Game,Kiosk / Public Access Software
SIFU,1.28.6726.0,Game,Kiosk / Public Access Software
Slayers X- Terminal Aftermath- Vengance of the Slayer,1.0.29.0,Game,Scripting Tools
Sniper Elite 5,1.2.4.0,Game,Kiosk / Public Access Software
Sniper Elite- Resistance,1.2.18.0,Game,Kiosk / Public Access Software
Solar Ash,0.0.26464.0,Game,Kiosk / Public Access Software
Spirittea,1.0.26.0,Game,Kiosk / Public Access Software
Star Trucker,1.0.51.0,Game,Kiosk / Public Access Software
"Rolling Hills- Make Sushi, Make Friends",1.1.111.0,Game,Build Tools
S.T.A.L.K.E.R. 2,1.7.995.0,Game,Kiosk / Public Access Software
Sea of Stars,1.0.11.0,Game,Kiosk / Public Access Software
Update for Windows Security platform - KB5007651,10.0.27777.1004,Security,Office Productivity
SQL Server 2019 RTM Cumulative Update (CU) 32 KB5054833 ,2025-03-05,Security,Database Tools
SQL Server 2022 RTM Cumulative Update (CU) 18 KB5050771 ,2025-03-13,Security,Database Tools
2025-03 Dynamic Cumulative Update for Windows 10 Version 22H2 for ARM64-based Systems (KB5053606) ,March 2025,Security,Office Productivity
2025-03 Dynamic Cumulative Update for Windows 10 Version 22H2 for x64-based Systems (KB5053606) ,March 2025,Security,Office Productivity
2025-03 Dynamic Cumulative Update for Windows 10 Version 22H2 for x86-based Systems (KB5053606) ,March 2025,Security,Office Productivity
SQL Server 2017 RTM Azure Connect Pack KB5050533 ,2025-03-13,Security,Database Tools
2025-03 .NET 9.0.3 Security Update for x86 Client (KB5054230) ,March 2025,Security,Office Productivity
2025-03 .NET 8.0.14 Security Update for x86 Client (KB5054229) ,March 2025,Security,Office Productivity
2025-03 .NET 9.0.3 Security Update for x64 Server (KB5054230) ,March 2025,Security,Office Productivity
2025-03 .NET 8.0.14 Security Update for ARM64 Client (KB5054229) ,March 2025,Security,Office Productivity
2025-03 .NET 8.0.14 Security Update for x64 Server (KB5054229) ,March 2025,Security,Office Productivity
2025-03 .NET 9.0.3 Security Update for ARM64 Client (KB5054230) ,March 2025,Security,Office Productivity
Grizzly Security Ltd - AntiVirus - 1.0.187.481 ,2025-03-17,Security,Office Productivity
Grizzly Security Ltd - AntiVirus - 1.0.186.481 ,2025-03-17,Security,Office Productivity
Grizzly Security Ltd,1.0.187.481 ,Antivirus,Security Monitoring Tools
ShareX Portable,17.0.0,productivity tools,Office Productivity
pgAdmin 4,9.1,Development Platform,Development Tools
pgAdmin 4,9.0,Development Platform,Development Tools
PgAdmin 4,8.14,Database,Database Tools
PlateUp,4.0.47.0,Game,Kiosk / Public Access Software
No Man's Sky,5.57.0.0,Game,Kiosk / Public Access Software
Orcs Must Die! Deathtrap,1.0.11.0,Game,Kiosk / Public Access Software
My Time at Sandrock,142.0.0.0,Game,Kiosk / Public Access Software
Nine Sols,1.0.16.0,Game,Kiosk / Public Access Software
Overthrown,0.7.6.0,Game,Kiosk / Public Access Software
Sandrock Online,120.0.12.0,Game,Kiosk / Public Access Software
"Little Kitty, Big City",1.1.9.0,Game,Kiosk / Public Access Software
Lonely Mountains- Snow Riders,1.0.4.0,Game,Kiosk / Public Access Software
MechWarrior 5- Clans,1.83.745.0,Game,Kiosk / Public Access Software
Metal Slug Tactics,1.0.64.0,Game,Kiosk / Public Access Software
Microsoft Flight Simulator 2024,1.2.11.0,Game,Kiosk / Public Access Software
Monster Train,1.0.12925.0,Game,Kiosk / Public Access Software
Keplerth,1.0.34.0,Game,Kiosk / Public Access Software
Kunitsu-Gami- Path of the Goddess,1.3.0.0,Game,Kiosk / Public Access Software
Lightyear Frontier,0.4.1282.0,Game,Kiosk / Public Access Software
Lords of the Fallen,1.0.28.0,Game,Kiosk / Public Access Software
Indiana Jones and the Great Circle,1.5.1.0,Game,Kiosk / Public Access Software
Isonzo (Windows),1.0.59404.0,Game,Kiosk / Public Access Software
Harold Halibut,1.1.0.0,Game,Kiosk / Public Access Software
Hauntii,1.0.12.0,Game,Kiosk / Public Access Software
Hi-Fi RUSH,1.10.0.0,Game,Kiosk / Public Access Software
Hollow Knight,5.80.11835.0,Game,Kiosk / Public Access Software
House Flipper,7.0.2.0,Game,Kiosk / Public Access Software
Forza Motorsport,1.773.5588.0,Game,Kiosk / Public Access Software
Gang Beasts,1.26.0.0,Game,Kiosk / Public Access Software
Gears 5,1.1.967.0,Game,Kiosk / Public Access Software
Gears Tactics,1.0.151.0,Game,Kiosk / Public Access Software
Generation Zero,1.0.1394.0,Game,Kiosk / Public Access Software
Goat Simulator Remastered PC,1.38.14026.0,Game,Kiosk / Public Access Software
Halo Infinite,1.4098.14338.0,Game,Kiosk / Public Access Software
Eiyuden Chronicle- Hundred Heroes,1.0.44.0,Game,Kiosk / Public Access Software
Football Manager 2024,0.9.482.0,Game,Kiosk / Public Access Software
Football Manager 2024 Console,0.9.1801.0,Game,Kiosk / Public Access Software
For The King II,0.0.43.0,Game,Kiosk / Public Access Software
Forza Horizon 5,3.678.498.0,Game,Kiosk / Public Access Software
Dead By Daylight,8.5.200.0,Game,Kiosk / Public Access Software
Deep Rock Galactic,39.1.47723.0,Game,Kiosk / Public Access Software
Depersonalization,2.0.56.0,Game,Kiosk / Public Access Software
Dishonored 2,1.0.17.0,Game,Kiosk / Public Access Software
Disney Dreamlight Valley,15.0.8336.0,Game,Kiosk / Public Access Software
DOOM + DOOM II,1.0.2676.0,Game,Kiosk / Public Access Software
Dungeons Of Hinterberg,1.0.52.0,Game,Kiosk / Public Access Software
Cities- Skylines II - PC Edition,1.2.3.0,Game,Kiosk / Public Access Software
Citizen Sleeper 2- Starward Vector,1.1.31.0,Game,Kiosk / Public Access Software
Core Keeper,1.1.2.0,Game,Kiosk / Public Access Software
Crusader Kings III,1.1.128.0,Game,Kiosk / Public Access Software
Dead Island 2,1.123.1932.0,Game,Kiosk / Public Access Software
Evernote,2025-03-26,notes,Office Productivity
PaintTool SAI (32 bit),1.2.5,Painting,CAD / Engineering Tools
Paint Tool SAI (32 bit),1.2.5,Painting,CAD / Engineering Tools
Paint Tool SAI (32 bit),1.2.6-Beta,Painting,CAD / Engineering Tools
Paint SAI (32 bit),1.2.6-Beta,Painting,CAD / Engineering Tools
Paint SAI (64 bit),2,Painting,CAD / Engineering Tools
Paint SAI (32 bit),2,Painting,CAD / Engineering Tools
Open Shell,4.4.195,Tool,Office Productivity
Open Shell Utility,2025-03-26,Tool,Office Productivity
Spotify,2025-03-26,Music,Office Productivity
Skype,8.138.0.213,Video chat,Communication Tools
Zoom Workplace (64 bit),6.4.2 (62735),Video Conferencing,Communication Tools
Zoom Workplace (32 bit),6.4.2 (62735),Video Conferencing,Communication Tools
Zoom Workplace (ARM64),6.4.2 (62735),Video Conferencing,Communication Tools
Google Drive,2025-03-27,Storage,File Synchronization
LibreOffice (32 bit),25.2.2,Office Suite,Office Productivity
LibreOffice (Aarch64),25.2.2,Office Suite,Office Productivity
LibreOffice (x86_64),25.2.2,Office Suite,Office Productivity
LibreOffice,25.2.1,Office Suite,Office Productivity
LibreOffice (Aarch64),25.2.1,Office Suite,Office Productivity
LibreOffice (x86_64),25.2.1,Office Suite,Office Productivity
LibreOffice (32 bit),24.8.6,Office Suite,Office Productivity
LibreOffice (Aarch64),24.8.6,Office Suite,Office Productivity
LibreOffice (x86_64),24.8.6 ,Office Suite,Office Productivity
WhatsApp,2025-03-27,Messenger,Financial Software
Signal,2025-03-27,Messenger,Communication Tools
Enpass,2025-03-27,password manager,Office Productivity
Enpass (portable),6.6.1,password manager,Office Productivity
Firefox (64 bit),137.0,Web Browser,Web Browser
Firefox (ARM64/AArch 64),137.0,Web Browser,Web Browser
Firefox (32 bit),137.0,Web Browser,Web Browser
Update for Windows Security platform - KB5007651    ,10.0.27777.1008,Security,Office Productivity
Update for Windows Security platform - KB5007651     ,10.0.27777.1008,Security,Office Productivity
Update for Windows Security platform - KB5007651,10.0.27777.1008,Security,Office Productivity
BO6 PC MS DLC01 BO6 Game Stub 01,0.0.9.0,Game,Kiosk / Public Access Software
BO6 PC MS DLC07 Game Pass Launch Tracker,0.0.9.0,Game,Kiosk / Public Access Software
BO6 PC MS DLC12 Beta Early Access,0.0.9.0,Game,Kiosk / Public Access Software
Brotato,1.1.11.0,Game,Kiosk / Public Access Software
Call of the Wild- The Angler,2.1.1.0,Game,Kiosk / Public Access Software
Cassette Beasts,1.7.6.0,Game,Kiosk / Public Access Software
MW3 PC MS DLC01 Game Stub 01,0.0.9.0,Game,Kiosk / Public Access Software
MW3 PC MS DLC02 Cross-Gen Pack 01,0.0.9.0,Game,Kiosk / Public Access Software
MW3 PC MS DLC03 Cross-Gen Pack 02,0.0.9.0,Game,Kiosk / Public Access Software
MW3 PC MS DLC10 Game Pass Tracker,0.0.9.0,Game,Kiosk / Public Access Software
Among Us,2024.11.263.0,Game,Kiosk / Public Access Software
As Dusk Falls,1.22.9949.0,Game,Kiosk / Public Access Software
AYNIH,1.1.4.0,Game,Kiosk / Public Access Software
Balatro,1.0.5.0,Game,Kiosk / Public Access Software
Call to Arms - Gates of Hell: Ostfront,,Game,Kiosk / Public Access Software
Heavy Rain,,Game,Kiosk / Public Access Software
The Walking Dead: The Telltale Definitive Series,,Game,Kiosk / Public Access Software
Spiritfarer: Farewell Edition,,Game,Kiosk / Public Access Software
Lossless Scaling,,Game,Kiosk / Public Access Software
Company of Heroes 3,,Game,Kiosk / Public Access Software
Anno 1800,,Game,Kiosk / Public Access Software
Arma Reforger,,Game,Kiosk / Public Access Software
Tom Clancy's The Division 2,,Game,Kiosk / Public Access Software
FINAL FANTASY VII REBIRTH,,Game,Kiosk / Public Access Software
Fields of Mistria,,Game,Kiosk / Public Access Software
Monster Hunter Wilds,,Game,Kiosk / Public Access Software
Kingdom Come: Deliverance II,,Game,Kiosk / Public Access Software
Split Fiction,,Game,Kiosk / Public Access Software
R.E.P.O.,,Game,Kiosk / Public Access Software
Sid Meier's Civilization® VII,,Game,Kiosk / Public Access Software
Call of Duty,1.0.71.0,Game,Kiosk / Public Access Software
FragPunk,,Game,Kiosk / Public Access Software
Bongo Cat,,Game,Kiosk / Public Access Software
Schedule I: Free Sample,,Game,Kiosk / Public Access Software
ARA- History Untold,1.3.2494.0,Game,Kiosk / Public Access Software
2025-03 .NET 8.0.14 Security Update for x64 Client (KB5054229) ,March 2025,Security,Office Productivity
